escenario,psi0_deg,T1_sim,T1_theory,delta_T1,delta_z_sim_cm,delta_z_theory_cm,delta_delta_z_cm
R0fixed,71.0000,0.947293,0.977460,-0.030167,142.6700,141.9662,0.7039
R0fixed,72.0000,0.937238,0.969477,-0.032239,143.9421,143.2027,0.7394
R0fixed,73.0000,0.925216,0.959745,-0.034530,145.2566,144.4852,0.7713
R0fixed,74.0000,0.910914,0.948010,-0.037096,146.6126,145.8139,0.7987
R0fixed,75.0000,0.893954,0.933977,-0.040023,148.0103,147.1889,0.8213
R0fixed,76.0000,0.873902,0.917308,-0.043407,149.4485,148.6102,0.8384
R0fixed,77.0000,0.850220,0.897613,-0.047393,150.9273,150.0776,0.8497
R0fixed,78.0000,0.822289,0.874440,-0.052151,152.4455,151.5910,0.8545
R0fixed,79.0000,0.789347,0.847263,-0.057916,154.0022,153.1501,0.8522
R0fixed,80.0000,0.750459,0.815470,-0.065012,155.5973,154.7544,0.8428
R0fixed,81.0000,0.704506,0.778349,-0.073843,157.2292,156.4035,0.8257
R0fixed,82.0000,0.650082,0.735061,-0.084979,158.8972,158.0966,0.8006
R0fixed,83.0000,NaN,0.684624,NaN,NaN,159.8329,NaN
R0fixed,84.0000,NaN,0.625877,NaN,NaN,161.6113,NaN
R0fixed,85.0000,NaN,0.557447,NaN,NaN,163.4306,NaN
z0fixed,5.0000,NaN,0.889736,NaN,NaN,138.6996,NaN
z0fixed,6.0000,NaN,0.890109,NaN,NaN,136.7290,NaN
z0fixed,7.0000,NaN,0.890550,NaN,NaN,134.8453,NaN
z0fixed,8.0000,NaN,0.891059,NaN,NaN,133.0470,NaN
z0fixed,9.0000,NaN,0.891637,NaN,NaN,131.3327,NaN
z0fixed,10.0000,NaN,0.892284,NaN,NaN,129.7011,NaN
z0fixed,11.0000,NaN,0.893000,NaN,NaN,128.1506,NaN
z0fixed,12.0000,NaN,0.893784,NaN,NaN,126.6798,NaN
z0fixed,13.0000,NaN,0.894638,NaN,NaN,125.2872,NaN
z0fixed,14.0000,0.941366,0.895562,0.045804,127.2742,123.9715,3.3027
z0fixed,15.0000,0.941641,0.896556,0.045085,125.8837,122.7313,3.1524
z0fixed,16.0000,0.941938,0.897619,0.044318,124.5552,121.5652,2.9899
z0fixed,17.0000,0.942257,0.898753,0.043503,123.2921,120.4720,2.8201
z0fixed,18.0000,0.942598,0.899958,0.042639,122.0947,119.4502,2.6445
z0fixed,19.0000,0.942961,0.901234,0.041726,120.9625,118.4989,2.4636
z0fixed,20.0000,0.943346,0.902581,0.040765,119.8963,117.6168,2.2795
z0fixed,21.0000,0.943756,0.903999,0.039756,118.8974,116.8028,2.0946
z0fixed,22.0000,0.944191,0.905489,0.038701,117.9658,116.0560,1.9099
z0fixed,23.0000,0.944652,0.907051,0.037601,117.1028,115.3753,1.7275
z0fixed,24.0000,0.945140,0.908684,0.036456,116.3078,114.7599,1.5478
z0fixed,25.0000,0.945658,0.910390,0.035268,115.5821,114.2090,1.3731
z0fixed,26.0000,0.946204,0.912167,0.034037,114.9255,113.7219,1.2036
z0fixed,27.0000,0.946781,0.914016,0.032765,114.3389,113.2978,1.0412
z0fixed,28.0000,0.947389,0.915936,0.031453,113.8218,112.9361,0.8857
z0fixed,29.0000,0.948029,0.917928,0.030101,113.3748,112.6363,0.7386
z0fixed,30.0000,0.948702,0.919990,0.028712,112.9981,112.3978,0.6003
z0fixed,31.0000,0.949410,0.922123,0.027286,112.6917,112.2203,0.4714
z0fixed,32.0000,0.950152,0.924326,0.025826,112.4557,112.1034,0.3523
z0fixed,33.0000,0.950930,0.926597,0.024333,112.2901,112.0468,0.2433
z0fixed,34.0000,0.951745,0.928935,0.022810,112.1949,112.0502,0.1447
z0fixed,35.0000,0.952598,0.931340,0.021258,112.1700,112.1134,0.0566
z0fixed,36.0000,0.953491,0.933809,0.019681,112.2153,112.2363,-0.0210
z0fixed,37.0000,0.954423,0.936341,0.018082,112.3308,112.4187,-0.0879
z0fixed,38.0000,0.955397,0.938933,0.016464,112.5160,112.6606,-0.1446
z0fixed,39.0000,0.956413,0.941583,0.014831,112.7708,112.9620,-0.1912
z0fixed,40.0000,0.957473,0.944287,0.013186,113.0949,113.3229,-0.2279
z0fixed,41.0000,0.958577,0.947042,0.011536,113.4880,113.7432,-0.2552
z0fixed,42.0000,0.959726,0.949843,0.009883,113.9496,114.2230,-0.2735
z0fixed,43.0000,0.960921,0.952686,0.008235,114.4793,114.7624,-0.2832
z0fixed,44.0000,0.962162,0.955566,0.006596,115.0765,115.3614,-0.2849
z0fixed,45.0000,0.963448,0.958475,0.004973,115.7409,116.0201,-0.2792
z0fixed,46.0000,0.964780,0.961407,0.003373,116.4714,116.7384,-0.2670
z0fixed,47.0000,0.966156,0.964353,0.001803,117.2677,117.5163,-0.2486
z0fixed,48.0000,0.967574,0.967304,0.000270,118.1290,118.3537,-0.2247
z0fixed,49.0000,0.969031,0.970250,-0.001219,119.0541,119.2507,-0.1966
z0fixed,50.0000,0.970523,0.973177,-0.002654,120.0421,120.2068,-0.1647
z0fixed,51.0000,0.972044,0.976072,-0.004028,121.0919,121.2219,-0.1300
z0fixed,52.0000,0.973587,0.978921,-0.005334,122.2024,122.2955,-0.0932
z0fixed,53.0000,0.975142,0.981704,-0.006561,123.3720,123.4271,-0.0552
z0fixed,54.0000,0.976698,0.984402,-0.007704,124.5993,124.6161,-0.0168
z0fixed,55.0000,0.978238,0.986993,-0.008754,125.8826,125.8614,0.0212
z0fixed,56.0000,0.979745,0.989450,-0.009705,127.2202,127.1621,0.0580
z0fixed,57.0000,0.981194,0.991745,-0.010551,128.6099,128.5169,0.0930
z0fixed,58.0000,0.982560,0.993846,-0.011286,130.0496,129.9242,0.1254
z0fixed,59.0000,0.983807,0.995715,-0.011908,131.5368,131.3821,0.1547
z0fixed,60.0000,0.984899,0.997310,-0.012412,133.0689,132.8885,0.1803
z0fixed,61.0000,0.985787,0.998585,-0.012798,134.6428,134.4410,0.2019
z0fixed,62.0000,0.986419,0.999485,-0.013066,136.2555,136.0365,0.2191
z0fixed,63.0000,0.986733,0.999950,-0.013218,137.9035,137.6719,0.2316
z0fixed,64.0000,0.986655,0.999912,-0.013257,139.5828,139.3434,0.2394
z0fixed,65.0000,0.986105,0.999292,-0.013188,141.2894,141.0468,0.2425
z0fixed,66.0000,0.984986,0.998003,-0.013017,143.0187,142.7776,0.2411
z0fixed,67.0000,0.983191,0.995943,-0.012752,144.7659,144.5305,0.2354
z0fixed,68.0000,0.980597,0.992998,-0.012401,146.5257,146.2999,0.2258
z0fixed,69.0000,0.977064,0.989038,-0.011974,148.2922,148.0795,0.2127
z0fixed,70.0000,0.972435,0.983915,-0.011480,150.0594,149.8627,0.1967
z0fixed,71.0000,0.966528,0.977460,-0.010931,151.8206,151.6422,0.1785
z0fixed,72.0000,0.959139,0.969477,-0.010338,153.5689,153.4102,0.1587
z0fixed,73.0000,0.950035,0.959745,-0.009711,155.2965,155.1586,0.1379
z0fixed,74.0000,0.938950,0.948010,-0.009060,156.9956,156.8786,0.1171
z0fixed,75.0000,0.925582,0.933977,-0.008395,158.6579,158.5612,0.0967
z0fixed,76.0000,0.909582,0.917308,-0.007726,160.2745,160.1971,0.0773
z0fixed,77.0000,0.890554,0.897613,-0.007059,161.8363,161.7767,0.0596
z0fixed,78.0000,0.868039,0.874440,-0.006401,163.3341,163.2902,0.0439
z0fixed,79.0000,0.841505,0.847263,-0.005758,164.7584,164.7279,0.0305
z0fixed,80.0000,0.810340,0.815470,-0.005130,166.0997,166.0800,0.0196
z0fixed,81.0000,0.773830,0.778349,-0.004519,167.3484,167.3372,0.0112
z0fixed,82.0000,0.731138,0.735061,-0.003922,168.4952,168.4902,0.0051
z0fixed,83.0000,0.681286,0.684624,-0.003338,169.5314,169.5303,0.0010
z0fixed,84.0000,0.623116,0.625877,-0.002761,170.4484,170.4496,-0.0012
z0fixed,85.0000,0.555258,0.557447,-0.002189,171.2386,171.2407,-0.0021
