escenario,psi0_deg,rho0_m,z0_m,T1_sim,delta_z_sim_m,J_sim_gammaRef
R0fixed,81.0000,186.3567,29.5160,0.704506,1.572292,0.152115
R0fixed,82.0000,186.8434,26.2591,0.650082,1.588972,0.187032
R0fixed,83.0000,187.2732,22.9943,NaN,NaN,NaN
R0fixed,84.0000,187.6460,19.7224,NaN,NaN,NaN
R0fixed,85.0000,187.9616,16.4445,NaN,NaN,NaN
z0fixed,5.0000,8.7489,100.0000,NaN,NaN,NaN
z0fixed,6.0000,10.5104,100.0000,NaN,NaN,NaN
z0fixed,7.0000,12.2785,100.0000,NaN,NaN,NaN
z0fixed,8.0000,14.0541,100.0000,NaN,NaN,NaN
z0fixed,9.0000,15.8384,100.0000,NaN,NaN,NaN
z0fixed,10.0000,17.6327,100.0000,NaN,NaN,NaN
z0fixed,11.0000,19.4380,100.0000,NaN,NaN,NaN
z0fixed,12.0000,21.2557,100.0000,NaN,NaN,NaN
z0fixed,13.0000,23.0868,100.0000,NaN,NaN,NaN
z0fixed,14.0000,24.9328,100.0000,0.941366,1.272742,0.026241
z0fixed,15.0000,26.7949,100.0000,0.941641,1.258837,0.026115
z0fixed,16.0000,28.6745,100.0000,0.941938,1.245552,0.025978
z0fixed,17.0000,30.5731,100.0000,0.942257,1.232921,0.025831
z0fixed,18.0000,32.4920,100.0000,0.942598,1.220947,0.025674
z0fixed,19.0000,34.4328,100.0000,0.942961,1.209625,0.025506
z0fixed,20.0000,36.3970,100.0000,0.943346,1.198963,0.025329
z0fixed,21.0000,38.3864,100.0000,0.943756,1.188974,0.025140
z0fixed,22.0000,40.4026,100.0000,0.944191,1.179658,0.024940
z0fixed,23.0000,42.4475,100.0000,0.944652,1.171028,0.024728
z0fixed,24.0000,44.5229,100.0000,0.945140,1.163078,0.024504
z0fixed,25.0000,46.6308,100.0000,0.945658,1.155821,0.024266
z0fixed,26.0000,48.7733,100.0000,0.946204,1.149255,0.024015
z0fixed,27.0000,50.9525,100.0000,0.946781,1.143389,0.023750
z0fixed,28.0000,53.1709,100.0000,0.947389,1.138218,0.023472
z0fixed,29.0000,55.4309,100.0000,0.948029,1.133748,0.023178
z0fixed,30.0000,57.7350,100.0000,0.948702,1.129981,0.022870
z0fixed,31.0000,60.0861,100.0000,0.949410,1.126917,0.022546
z0fixed,32.0000,62.4869,100.0000,0.950152,1.124557,0.022207
z0fixed,33.0000,64.9408,100.0000,0.950930,1.122901,0.021852
z0fixed,34.0000,67.4509,100.0000,0.951745,1.121949,0.021479
z0fixed,35.0000,70.0208,100.0000,0.952598,1.121700,0.021090
z0fixed,36.0000,72.6543,100.0000,0.953491,1.122153,0.020684
z0fixed,37.0000,75.3554,100.0000,0.954423,1.123308,0.020259
z0fixed,38.0000,78.1286,100.0000,0.955397,1.125160,0.019816
z0fixed,39.0000,80.9784,100.0000,0.956413,1.127708,0.019354
z0fixed,40.0000,83.9100,100.0000,0.957473,1.130949,0.018873
z0fixed,41.0000,86.9287,100.0000,0.958577,1.134880,0.018373
z0fixed,42.0000,90.0404,100.0000,0.959726,1.139496,0.017853
z0fixed,43.0000,93.2515,100.0000,0.960921,1.144793,0.017312
z0fixed,44.0000,96.5689,100.0000,0.962162,1.150765,0.016752
z0fixed,45.0000,100.0000,100.0000,0.963448,1.157409,0.016172
z0fixed,46.0000,103.5530,100.0000,0.964780,1.164714,0.015572
z0fixed,47.0000,107.2369,100.0000,0.966156,1.172677,0.014953
z0fixed,48.0000,111.0613,100.0000,0.967574,1.181290,0.014316
z0fixed,49.0000,115.0368,100.0000,0.969031,1.190541,0.013662
z0fixed,50.0000,119.1754,100.0000,0.970523,1.200421,0.012994
z0fixed,51.0000,123.4897,100.0000,0.972044,1.210919,0.012314
z0fixed,52.0000,127.9942,100.0000,0.973587,1.222024,0.011625
z0fixed,53.0000,132.7045,100.0000,0.975142,1.233720,0.010932
z0fixed,54.0000,137.6382,100.0000,0.976698,1.245993,0.010240
z0fixed,55.0000,142.8148,100.0000,0.978238,1.258826,0.009555
z0fixed,56.0000,148.2561,100.0000,0.979745,1.272202,0.008887
z0fixed,57.0000,153.9865,100.0000,0.981194,1.286099,0.008245
z0fixed,58.0000,160.0335,100.0000,0.982560,1.300496,0.007641
z0fixed,59.0000,166.4279,100.0000,0.983807,1.315368,0.007090
z0fixed,60.0000,173.2051,100.0000,0.984899,1.330689,0.006609
z0fixed,61.0000,180.4048,100.0000,0.985787,1.346428,0.006217
z0fixed,62.0000,188.0726,100.0000,0.986419,1.362555,0.005938
z0fixed,63.0000,196.2611,100.0000,0.986733,1.379035,0.005800
z0fixed,64.0000,205.0304,100.0000,0.986655,1.395828,0.005835
z0fixed,65.0000,214.4507,100.0000,0.986105,1.412894,0.006077
z0fixed,66.0000,224.6037,100.0000,0.984986,1.430187,0.006570
z0fixed,67.0000,235.5852,100.0000,0.983191,1.447659,0.007362
z0fixed,68.0000,247.5087,100.0000,0.980597,1.465257,0.008509
z0fixed,69.0000,260.5089,100.0000,0.977064,1.482922,0.010077
z0fixed,70.0000,274.7477,100.0000,0.972435,1.500594,0.012139
z0fixed,71.0000,290.4211,100.0000,0.966528,1.518206,0.014785
z0fixed,72.0000,307.7684,100.0000,0.959139,1.535689,0.018119
z0fixed,73.0000,327.0853,100.0000,0.950035,1.552965,0.022260
z0fixed,74.0000,348.7414,100.0000,0.938950,1.569956,0.027358
z0fixed,75.0000,373.2051,100.0000,0.925582,1.586579,0.033585
z0fixed,76.0000,401.0781,100.0000,0.909582,1.602745,0.041158
z0fixed,77.0000,433.1476,100.0000,0.890554,1.618363,0.050340
z0fixed,78.0000,470.4630,100.0000,0.868039,1.633341,0.061461
z0fixed,79.0000,514.4554,100.0000,0.841505,1.647584,0.074943
z0fixed,80.0000,567.1282,100.0000,0.810340,1.660997,0.091333
z0fixed,81.0000,631.3752,100.0000,0.773830,1.673484,0.111355
z0fixed,82.0000,711.5370,100.0000,0.731138,1.684952,0.136000
z0fixed,83.0000,814.4346,100.0000,0.681286,1.695314,0.166670
z0fixed,84.0000,951.4364,100.0000,0.623116,1.704484,0.205431
z0fixed,85.0000,1143.0052,100.0000,0.555258,1.712386,0.255505
