Tiempo_s,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
0.000000,175.919,0.000,113.255,-25.440,6.891,113.255,2.770616e-07,-35.574,4.788495,1.343856,6.557424
0.375000,175.674,7.496,113.106,-23.129,4.788,113.106,2.710106e-07,-35.670,5.689955,1.358987,6.567014
0.750000,175.111,14.975,112.956,-16.873,6.953,112.956,2.882341e-07,-35.403,3.805441,1.390396,6.540255
1.125000,174.229,22.422,112.807,-9.962,6.137,112.807,3.063412e-07,-35.138,4.159751,1.430136,6.513795
1.500000,173.029,29.826,112.657,0.681,7.990,112.657,3.327473e-07,-34.779,2.547095,1.452421,6.477885
1.875000,171.515,37.171,112.508,14.571,12.660,112.508,3.757622e-07,-34.251,0.873860,1.383157,6.425087
2.250000,169.689,44.445,112.358,27.001,14.151,112.358,4.167988e-07,-33.801,0.550183,1.318978,6.380073
2.625000,167.553,51.635,112.209,28.606,15.199,112.209,4.511436e-07,-33.457,0.518410,1.308619,6.345685
3.000000,165.111,58.726,112.059,24.618,13.244,112.059,4.521759e-07,-33.447,0.593093,1.331789,6.344693
3.375000,162.369,65.707,111.910,19.037,12.038,111.910,4.487561e-07,-33.480,0.728396,1.362558,6.347990
3.750000,159.330,72.563,111.761,9.477,8.615,111.761,4.132598e-07,-33.838,1.272538,1.421916,6.383777
4.125000,156.000,79.283,111.611,-0.555,3.760,111.611,3.992587e-07,-33.987,5.181196,1.477072,6.398746
4.500000,152.385,85.855,111.462,-3.407,2.704,111.462,3.962608e-07,-34.020,6.578892,1.473742,6.402019
4.875000,148.492,92.265,111.312,-8.462,-0.590,111.312,3.976249e-07,-34.005,7.823444,1.448398,6.400526
5.250000,144.328,98.503,111.163,-7.266,-0.965,111.163,3.961702e-07,-34.021,9.405855,1.455414,6.402118
5.625000,139.900,104.556,111.013,-5.839,-0.366,111.013,4.160141e-07,-33.809,9.522682,1.464413,6.380892
6.000000,135.216,110.413,110.864,-0.778,3.355,110.864,4.353613e-07,-33.612,5.431333,1.478911,6.361150
6.375000,130.285,116.064,110.714,8.505,11.596,110.714,4.704870e-07,-33.275,1.117434,1.410438,6.327452
6.750000,125.115,121.498,110.565,12.569,15.241,110.565,5.039443e-07,-32.976,0.815046,1.376311,6.297617
7.125000,119.717,126.704,110.415,8.945,11.139,110.415,4.872004e-07,-33.123,1.116433,1.410561,6.312292
7.500000,114.100,131.674,110.266,0.446,2.054,110.266,4.478899e-07,-33.488,7.753083,1.486723,6.348829
7.875000,108.274,136.397,110.117,-6.605,-5.863,110.117,4.132249e-07,-33.838,20.620898,1.445060,6.383813
8.250000,102.250,140.865,109.967,-6.632,-5.296,109.967,4.098601e-07,-33.874,13.869215,1.447105,6.387364
8.625000,96.040,145.069,109.818,-6.661,-6.758,109.818,3.958765e-07,-34.024,17.221747,1.440542,6.402440
