Tx_ID,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
1,147.500,0.000,120.000,147.500,0.000,120.000,7.923846e-08,-41.011,0.184528,1.266878,4.781384
2,136.211,58.515,118.804,136.211,58.515,118.804,2.023034e-07,-36.940,0.183433,1.268018,4.495779
3,102.790,107.860,117.608,102.790,107.860,117.608,2.550592e-07,-35.934,0.182360,1.269254,4.424695
4,52.700,140.163,116.412,52.700,140.163,116.412,2.418776e-07,-36.164,0.181307,1.270588,4.440209
5,-6.025,150.370,115.216,-6.025,150.370,115.216,8.478841e-08,-40.717,0.180274,1.272022,4.758293
6,-64.111,136.977,114.020,-64.111,136.977,114.020,2.007620e-07,-36.973,0.179262,1.273555,4.495674
7,-112.514,102.177,112.823,-112.514,102.177,112.823,2.298781e-07,-36.385,0.178269,1.275188,4.453947
8,-143.811,51.435,111.627,-143.811,51.435,111.627,2.690019e-07,-35.702,0.177296,1.276923,4.405630
9,-153.301,-7.426,110.431,-153.301,-7.426,110.431,3.526926e-08,-44.526,0.176342,1.278760,5.022766
10,-139.644,-65.466,109.235,-139.644,-65.466,109.235,2.117330e-07,-36.742,0.175407,1.280699,4.477396
11,-104.992,-113.992,108.039,-104.992,-113.992,108.039,2.616766e-07,-35.822,0.174490,1.282741,4.412538
12,-54.579,-145.845,106.843,-54.579,-145.845,106.843,3.004164e-07,-35.223,0.173592,1.284887,4.370112
13,4.112,-156.417,105.647,4.112,-156.417,105.647,9.942009e-08,-40.025,0.172713,1.287136,4.705853
14,62.500,-144.261,104.451,62.500,-144.261,104.451,2.540595e-07,-35.951,0.171851,1.289490,4.420216
15,112.163,-111.233,103.255,112.163,-111.233,103.255,3.472125e-07,-34.594,0.171007,1.291948,4.324861
16,146.042,-62.142,102.059,146.042,-62.142,102.059,3.019877e-07,-35.200,0.170180,1.294510,4.366912
17,159.411,-4.010,100.862,159.411,-4.010,100.862,1.019735e-07,-39.915,0.169371,1.297177,4.696610
18,150.482,54.971,99.666,150.482,54.971,99.666,3.325304e-07,-34.782,0.168579,1.299948,4.336937
19,120.595,106.601,98.470,120.595,106.601,98.470,3.049673e-07,-35.157,0.167803,1.302824,4.362928
20,73.954,143.801,97.274,73.954,143.801,97.274,2.548257e-07,-35.938,0.167044,1.305805,4.417242
21,16.996,161.560,96.078,16.996,161.560,96.078,1.221885e-07,-39.130,0.166301,1.308889,4.640418
22,-42.535,157.558,94.882,-42.535,157.558,94.882,3.411368e-07,-34.671,0.165574,1.312077,4.328036
23,-96.653,132.426,93.686,-96.653,132.426,93.686,2.219850e-07,-36.537,0.164863,1.315369,4.458425
24,-138.195,89.589,92.490,-138.195,89.589,92.490,2.077898e-07,-36.824,0.164168,1.318764,4.478299
25,-161.749,34.759,91.294,-161.749,34.759,91.294,2.390871e-07,-36.214,0.163488,1.322260,4.435451
26,-164.319,-24.863,90.098,-164.319,-24.863,90.098,4.875561e-08,-43.120,0.162823,1.325859,4.918646
27,-145.661,-81.553,88.901,-145.661,-81.553,88.901,2.381556e-07,-36.231,0.162173,1.329558,4.436303
28,-108.254,-128.059,87.705,-108.254,-128.059,87.705,2.731332e-07,-35.636,0.161538,1.333358,4.394504
29,-56.926,-158.520,86.509,-56.926,-158.520,86.509,4.090942e-07,-33.882,0.160917,1.337256,4.271568
30,1.806,-169.170,85.313,1.806,-169.170,85.313,1.218345e-07,-39.142,0.160310,1.341253,4.639703
31,60.584,-158.760,84.117,60.584,-158.760,84.117,4.211723e-07,-33.755,0.159718,1.345346,4.262535
32,112.138,-128.666,82.921,112.138,-128.666,82.921,3.790157e-07,-34.213,0.159140,1.349536,4.294529
33,150.177,-82.658,81.725,150.177,-82.658,81.725,2.817849e-07,-35.501,0.158575,1.353819,4.384596
34,170.135,-26.392,80.529,170.135,-26.392,80.529,1.992711e-07,-37.006,0.158024,1.358196,4.489895
