Tiempo_s,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
0.000000,147.500,0.000,120.000,38.171,56.324,120.000,1.454426e-07,-38.373,0.328493,1.213392,4.666274
0.375000,147.403,7.499,119.850,35.221,58.126,119.850,1.492658e-07,-38.260,0.328456,1.213052,4.658335
0.750000,146.925,14.984,119.701,51.706,45.091,119.701,1.523112e-07,-38.173,0.302052,1.211702,4.641131
1.125000,146.068,22.434,119.551,63.740,35.075,119.551,1.740222e-07,-37.594,0.279632,1.206255,4.589985
1.500000,144.833,29.832,119.402,72.519,31.598,119.402,2.151437e-07,-36.673,0.260578,1.200796,4.515712
1.875000,143.226,37.157,119.252,78.509,31.343,119.252,2.953950e-07,-35.296,0.248007,1.198402,4.412638
2.250000,141.249,44.392,119.103,80.313,31.360,119.103,3.352275e-07,-34.747,0.244247,1.197812,4.372128
2.625000,138.909,51.517,118.953,77.071,32.995,118.953,3.142976e-07,-35.027,0.248545,1.197795,4.393998
3.000000,136.211,58.515,118.804,70.060,35.536,118.804,2.979344e-07,-35.259,0.259652,1.199493,4.416132
3.375000,133.162,65.367,118.654,60.312,41.325,118.654,2.682590e-07,-35.714,0.273579,1.203304,4.455249
3.750000,129.771,72.057,118.505,54.251,45.665,118.505,2.774278e-07,-35.568,0.280067,1.205219,4.448293
4.125000,126.047,78.566,118.355,51.401,48.303,118.355,2.873589e-07,-35.416,0.280963,1.205216,4.438017
4.500000,121.999,84.880,118.206,50.017,49.320,118.206,3.065053e-07,-35.136,0.281219,1.205119,4.418516
4.875000,117.637,90.981,118.056,49.916,49.464,118.056,3.142544e-07,-35.027,0.280376,1.204637,4.410482
5.250000,112.974,96.854,117.907,50.324,50.801,117.907,3.252842e-07,-34.877,0.276264,1.202781,4.397869
5.625000,108.020,102.486,117.757,56.194,57.246,117.757,3.768767e-07,-34.238,0.254288,1.195849,4.341561
6.000000,102.790,107.860,117.608,54.663,57.023,117.608,3.692778e-07,-34.326,0.256726,1.196013,4.349014
6.375000,97.295,112.965,117.458,46.955,52.610,117.458,3.201306e-07,-34.947,0.278105,1.202560,4.403566
6.750000,91.551,117.787,117.309,45.494,52.253,117.309,3.010363e-07,-35.214,0.281587,1.203601,4.423995
7.125000,85.572,122.314,117.159,44.184,52.833,117.159,2.894915e-07,-35.384,0.282712,1.203668,4.436410
7.500000,79.373,126.535,117.010,41.565,55.134,117.010,2.721163e-07,-35.652,0.281917,1.202990,4.454787
7.875000,72.969,130.440,116.860,36.491,60.045,116.860,2.667144e-07,-35.740,0.277829,1.201054,4.458770
8.250000,66.378,134.018,116.711,31.988,66.895,116.711,2.741022e-07,-35.621,0.266933,1.196728,4.444781
8.625000,59.616,137.262,116.561,28.441,75.825,116.561,3.207526e-07,-34.938,0.250950,1.192380,4.388482
9.000000,52.700,140.163,116.412,27.729,80.149,116.412,3.379120e-07,-34.712,0.243110,1.191271,4.368381
9.375000,45.648,142.714,116.262,27.370,80.010,116.262,3.419372e-07,-34.661,0.243363,1.190911,4.364878
9.750000,38.476,144.908,116.113,24.622,76.641,116.113,2.660246e-07,-35.751,0.251316,1.191345,4.445432
10.125000,31.204,146.742,115.963,18.636,71.644,115.963,2.125001e-07,-36.726,0.266086,1.194653,4.521527
10.500000,23.849,148.210,115.814,3.953,65.976,115.814,1.832853e-07,-37.369,0.289146,1.203360,4.578264
10.875000,16.430,149.309,115.664,-58.300,32.405,115.664,1.784901e-07,-37.484,0.344036,1.201996,4.608822
11.250000,8.966,150.036,115.515,-64.538,20.511,115.515,1.688456e-07,-37.725,0.358656,1.200105,4.630926
11.625000,1.474,150.390,115.365,-60.572,28.534,115.365,1.748703e-07,-37.573,0.338748,1.200687,4.612891
12.000000,-6.025,150.370,115.216,-59.737,29.068,115.216,1.671269e-07,-37.770,0.333886,1.200963,4.624806
12.375000,-13.515,149.976,115.066,-49.840,44.350,115.066,1.796868e-07,-37.455,0.306912,1.200082,4.591706
12.750000,-20.975,149.210,114.917,-35.635,59.015,114.917,1.883922e-07,-37.249,0.284008,1.196673,4.566848
13.125000,-28.389,148.074,114.767,-32.075,70.229,114.767,2.424725e-07,-36.153,0.258286,1.189068,4.476928
13.500000,-35.736,146.570,114.618,-30.834,75.992,114.618,3.109712e-07,-35.073,0.246650,1.186985,4.395054
13.875000,-43.000,144.704,114.468,-31.101,79.267,114.468,3.591455e-07,-34.447,0.240043,1.186402,4.347667
14.250000,-50.162,142.479,114.319,-31.999,77.137,114.319,3.805851e-07,-34.195,0.242750,1.186033,4.331461
14.625000,-57.205,139.901,114.169,-33.568,71.134,114.169,3.474567e-07,-34.591,0.252390,1.186721,4.364296
15.000000,-64.111,136.977,114.020,-37.949,63.118,114.020,3.220869e-07,-34.920,0.264169,1.189233,4.393563
15.375000,-70.864,133.714,113.870,-42.876,54.552,113.870,3.123092e-07,-35.054,0.276190,1.192883,4.409132
15.750000,-77.447,130.121,113.720,-45.778,50.496,113.720,3.034159e-07,-35.180,0.279829,1.193884,4.419730
16.125000,-83.844,126.206,113.571,-47.053,49.121,113.571,3.259105e-07,-34.869,0.279682,1.193582,4.397886
16.500000,-90.040,121.979,113.421,-48.245,48.175,113.421,3.394184e-07,-34.693,0.278621,1.192909,4.384972
16.875000,-96.018,117.452,113.272,-48.580,48.572,113.272,3.532782e-07,-34.519,0.276378,1.191805,4.371631
17.250000,-101.766,112.634,113.122,-53.445,52.654,113.122,3.924071e-07,-34.063,0.259087,1.185602,4.330600
17.625000,-107.269,107.538,112.973,-57.715,56.347,112.973,4.312744e-07,-33.652,0.246344,1.182845,4.295014
18.000000,-112.514,102.177,112.823,-52.766,49.214,112.823,3.729244e-07,-34.284,0.265683,1.186863,4.349495
18.375000,-117.488,96.564,112.674,-50.906,44.291,112.674,3.385950e-07,-34.703,0.278629,1.191404,4.385549
18.750000,-122.179,90.712,112.524,-51.125,42.987,112.524,3.216463e-07,-34.926,0.280549,1.191815,4.402100
19.125000,-126.576,84.637,112.375,-52.850,40.395,112.375,3.057269e-07,-35.147,0.281144,1.191702,4.417796
19.500000,-130.669,78.352,112.225,-55.581,36.912,112.225,2.884419e-07,-35.399,0.280172,1.190941,4.434954
19.875000,-134.447,71.874,112.076,-60.428,33.865,112.076,3.115574e-07,-35.065,0.272270,1.187360,4.407398
20.250000,-137.902,65.217,111.926,-70.042,29.567,111.926,3.410761e-07,-34.671,0.254805,1.181527,4.370599
20.625000,-141.026,58.399,111.777,-75.866,28.084,111.777,3.721888e-07,-34.292,0.244186,1.179567,4.338299
21.000000,-143.811,51.435,111.627,-79.144,27.667,111.627,3.892315e-07,-34.098,0.238349,1.179109,4.321485
21.375000,-146.252,44.344,111.478,-78.111,26.711,111.478,3.705415e-07,-34.312,0.240563,1.178664,4.337600
21.750000,-148.341,37.141,111.328,-75.443,24.402,111.328,2.950059e-07,-35.302,0.246880,1.178623,4.410277
22.125000,-150.075,29.844,111.179,-67.918,15.735,111.179,2.325611e-07,-36.335,0.269468,1.184037,4.494586
22.500000,-151.449,22.471,111.029,-64.012,5.953,111.029,1.991306e-07,-37.009,0.285768,1.190479,4.550124
22.875000,-152.460,15.040,110.880,-34.388,-53.624,110.880,1.975711e-07,-37.043,0.336932,1.190891,4.574018
23.250000,-153.107,7.568,110.730,-41.631,-47.883,110.730,1.873353e-07,-37.274,0.320088,1.190788,4.583498
23.625000,-153.387,0.073,110.581,-32.909,-54.771,110.581,1.903011e-07,-37.206,0.328764,1.189569,4.582073
24.000000,-153.301,-7.426,110.431,-2.537,71.342,110.431,8.797834e-08,-40.556,0.375300,1.180120,4.832829
24.375000,-152.848,-14.912,110.282,5.969,72.708,110.282,1.013406e-07,-39.942,0.404740,1.178452,4.799498
24.750000,-152.031,-22.367,110.132,7.156,73.294,110.132,1.083610e-07,-39.651,0.418018,1.177536,4.783240
25.125000,-150.851,-29.774,109.983,-68.779,-29.807,109.983,2.792584e-07,-35.540,0.255622,1.176331,4.431234
25.500000,-149.311,-37.114,109.833,-76.252,-30.143,109.833,3.635491e-07,-34.394,0.239806,1.174290,4.342497
25.875000,-147.415,-44.370,109.684,-76.885,-30.736,109.684,4.303893e-07,-33.661,0.237805,1.173952,4.290058
26.250000,-145.168,-51.525,109.534,-76.071,-31.335,109.534,4.245183e-07,-33.721,0.238416,1.173510,4.294519
26.625000,-142.576,-58.563,109.385,-69.807,-32.819,109.385,3.846448e-07,-34.149,0.248453,1.173676,4.329896
27.000000,-139.644,-65.466,109.235,-61.782,-36.765,109.235,3.570088e-07,-34.473,0.260680,1.175967,4.359076
27.375000,-136.380,-72.219,109.086,-53.961,-41.491,109.086,3.552012e-07,-34.495,0.271354,1.179007,4.366184
27.750000,-132.792,-78.804,108.936,-49.816,-44.011,108.936,3.349976e-07,-34.750,0.276022,1.180382,4.386361
28.125000,-128.889,-85.208,108.787,-47.707,-45.674,108.787,3.570470e-07,-34.473,0.276936,1.180419,4.367417
28.500000,-124.679,-91.415,108.637,-46.916,-46.727,108.637,3.714405e-07,-34.301,0.275813,1.179698,4.354793
28.875000,-120.174,-97.411,108.488,-46.659,-47.720,108.488,3.910240e-07,-34.078,0.273638,1.178546,4.338014
29.250000,-115.383,-103.181,108.338,-50.067,-51.633,108.338,4.298484e-07,-33.667,0.258970,1.173126,4.301458
29.625000,-110.318,-108.713,108.189,-55.857,-56.924,108.189,4.809139e-07,-33.179,0.241244,1.169809,4.257724
30.000000,-104.992,-113.992,108.039,-50.373,-52.958,108.039,4.253750e-07,-33.712,0.255466,1.171435,4.302675
30.375000,-99.416,-119.008,107.889,-44.260,-49.385,107.889,3.731402e-07,-34.281,0.273390,1.177040,4.351962
30.750000,-93.604,-123.748,107.740,-41.913,-49.582,107.740,3.489122e-07,-34.573,0.277437,1.178332,4.374428
31.125000,-87.570,-128.203,107.590,-40.409,-51.184,107.590,3.547390e-07,-34.501,0.276316,1.177426,4.368766
31.500000,-81.328,-132.360,107.441,-37.821,-53.538,107.441,3.338600e-07,-34.764,0.274978,1.176472,4.386469
31.875000,-74.893,-136.212,107.291,-33.485,-58.810,107.291,3.374996e-07,-34.717,0.268313,1.173465,4.379642
32.250000,-68.279,-139.748,107.142,-29.477,-66.545,107.142,3.524817e-07,-34.529,0.254782,1.168814,4.359179
32.625000,-61.503,-142.962,106.992,-27.666,-73.328,106.992,3.939588e-07,-34.045,0.242290,1.166524,4.318553
33.000000,-54.579,-145.845,106.843,-28.106,-77.153,106.843,4.559000e-07,-33.411,0.234903,1.166311,4.270102
33.375000,-47.525,-148.392,106.693,-26.695,-77.665,106.693,4.256266e-07,-33.710,0.234686,1.165913,4.290826
33.750000,-40.356,-150.597,106.544,-24.139,-75.989,106.544,3.556198e-07,-34.490,0.238968,1.165214,4.347734
34.125000,-33.090,-152.454,106.394,-21.401,-70.032,106.394,2.997106e-07,-35.233,0.252685,1.166234,4.407118
34.500000,-25.743,-153.960,106.245,-14.536,-64.921,106.245,2.321408e-07,-36.342,0.269812,1.171175,4.493879
34.875000,-18.332,-155.111,106.095,-3.330,-60.759,106.095,2.179221e-07,-36.617,0.287849,1.178817,4.522372
35.250000,-10.874,-155.905,105.946,47.022,-39.549,105.946,2.094364e-07,-36.789,0.320114,1.177257,4.548116
35.625000,-3.387,-156.341,105.796,47.726,-38.093,105.796,2.165275e-07,-36.645,0.319467,1.177353,4.537741
36.000000,4.112,-156.417,105.647,44.979,-42.500,105.647,2.115255e-07,-36.746,0.306673,1.175445,4.539310
36.375000,11.607,-156.133,105.497,39.003,-49.614,105.497,2.182800e-07,-36.610,0.291504,1.173007,4.522874
36.750000,19.079,-155.491,105.348,35.933,-54.930,105.348,2.520209e-07,-35.986,0.277908,1.169105,4.472521
37.125000,26.512,-154.493,105.198,30.018,-65.501,105.198,2.801223e-07,-35.527,0.255462,1.163065,4.428736
37.500000,33.889,-153.140,105.049,29.456,-71.336,105.049,3.722313e-07,-34.292,0.242676,1.160991,4.335388
37.875000,41.193,-151.435,104.899,29.219,-76.069,104.899,4.291955e-07,-33.673,0.233629,1.160936,4.287142
38.250000,48.407,-149.384,104.750,30.207,-75.897,104.750,4.876780e-07,-33.119,0.232892,1.160584,4.247856
38.625000,55.514,-146.991,104.600,31.774,-71.824,104.600,4.694605e-07,-33.284,0.238487,1.159656,4.262419
39.000000,62.500,-144.261,104.451,33.630,-65.459,104.451,4.319112e-07,-33.646,0.248656,1.159989,4.293240
39.375000,69.347,-141.202,104.301,37.260,-57.773,104.301,3.782037e-07,-34.223,0.260541,1.162374,4.339958
39.750000,76.041,-137.819,104.152,41.664,-50.487,104.152,3.809964e-07,-34.191,0.270163,1.165115,4.342754
40.125000,82.566,-134.122,104.002,43.989,-47.662,104.002,3.934763e-07,-34.051,0.271773,1.165297,4.333750
40.500000,88.908,-130.118,103.853,44.546,-46.432,103.853,4.071763e-07,-33.902,0.272709,1.165403,4.323805
40.875000,95.052,-125.817,103.703,45.683,-45.428,103.703,4.232175e-07,-33.734,0.271928,1.164764,4.311613
41.250000,100.984,-121.228,103.554,47.342,-46.008,103.554,4.423299e-07,-33.543,0.266650,1.162381,4.295364
41.625000,106.692,-116.363,103.404,53.112,-51.746,103.404,5.110730e-07,-32.915,0.245724,1.156539,4.240144
42.000000,112.163,-111.233,103.255,55.557,-54.010,103.255,5.400081e-07,-32.676,0.238488,1.155707,4.219414
42.375000,117.383,-105.848,103.105,50.606,-48.186,103.105,4.664080e-07,-33.312,0.255164,1.157514,4.272967
42.750000,122.343,-100.222,102.956,47.551,-42.689,102.956,4.133480e-07,-33.837,0.271500,1.162724,4.318353
43.125000,127.030,-94.368,102.806,47.930,-40.685,102.806,3.888437e-07,-34.102,0.274511,1.163556,4.338462
43.500000,131.435,-88.297,102.657,49.984,-39.087,102.657,3.948862e-07,-34.035,0.272426,1.162217,4.332630
43.875000,135.547,-82.025,102.507,52.477,-36.731,102.507,3.814556e-07,-34.186,0.270264,1.160899,4.341964
44.250000,139.357,-75.566,102.358,59.233,-31.822,102.358,3.893333e-07,-34.097,0.260709,1.156981,4.330620
44.625000,142.858,-68.933,102.208,67.429,-28.709,102.208,4.133681e-07,-33.837,0.245712,1.153007,4.304241
45.000000,146.042,-62.142,102.059,72.474,-28.377,102.059,4.957418e-07,-33.047,0.236074,1.152231,4.243697
45.375000,148.901,-55.209,101.909,75.864,-27.101,101.909,5.170124e-07,-32.865,0.230823,1.152470,4.228022
45.750000,151.430,-48.148,101.759,76.411,-25.851,101.759,4.869154e-07,-33.125,0.230434,1.152096,4.245993
