Tiempo_s,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
0.000000,147.500,0.000,120.000,38.176,56.320,120.000,1.454410e-07,-38.373,0.328485,1.213392,4.666274
0.375000,147.403,7.499,119.850,35.245,58.121,119.850,1.492538e-07,-38.261,0.328398,1.213041,4.658335
0.750000,146.925,14.984,119.701,51.707,45.089,119.701,1.523115e-07,-38.173,0.302053,1.211703,4.641131
1.125000,146.068,22.434,119.551,63.741,35.073,119.551,1.740225e-07,-37.594,0.279633,1.206256,4.589985
1.500000,144.833,29.832,119.402,72.518,31.599,119.402,2.151444e-07,-36.673,0.260580,1.200797,4.515712
1.875000,143.226,37.157,119.252,78.509,31.337,119.252,2.953969e-07,-35.296,0.248011,1.198402,4.412638
2.250000,141.249,44.392,119.103,80.315,31.352,119.103,3.352292e-07,-34.747,0.244250,1.197813,4.372128
2.625000,138.909,51.517,118.953,77.072,32.994,118.953,3.142978e-07,-35.027,0.248546,1.197795,4.393998
3.000000,136.211,58.515,118.804,70.060,35.534,118.804,2.979354e-07,-35.259,0.259654,1.199494,4.416132
3.375000,133.162,65.367,118.654,60.311,41.326,118.654,2.682586e-07,-35.714,0.273578,1.203304,4.455249
3.750000,129.771,72.057,118.505,54.251,45.662,118.505,2.774298e-07,-35.568,0.280071,1.205221,4.448293
4.125000,126.047,78.566,118.355,51.394,48.306,118.355,2.873630e-07,-35.416,0.280972,1.205219,4.438017
4.500000,121.999,84.880,118.206,50.030,49.307,118.206,3.065041e-07,-35.136,0.281217,1.205119,4.418516
4.875000,117.637,90.981,118.056,49.916,49.472,118.056,3.142450e-07,-35.027,0.280358,1.204630,4.410482
5.250000,112.974,96.854,117.907,50.326,50.799,117.907,3.252843e-07,-34.877,0.276264,1.202781,4.397869
5.625000,108.020,102.486,117.757,56.191,57.248,117.757,3.768776e-07,-34.238,0.254290,1.195849,4.341561
6.000000,102.790,107.860,117.608,54.674,57.023,117.608,3.692666e-07,-34.327,0.256708,1.196009,4.349014
6.375000,97.295,112.965,117.458,46.941,52.622,117.458,3.201301e-07,-34.947,0.278104,1.202560,4.403566
6.750000,91.551,117.787,117.309,45.487,52.241,117.309,3.010559e-07,-35.214,0.281626,1.203618,4.423995
7.125000,85.572,122.314,117.159,44.185,52.834,117.159,2.894891e-07,-35.384,0.282707,1.203666,4.436410
7.500000,79.373,126.535,117.010,41.567,55.134,117.010,2.721146e-07,-35.652,0.281913,1.202988,4.454787
7.875000,72.969,130.440,116.860,36.488,60.046,116.860,2.667164e-07,-35.740,0.277833,1.201055,4.458770
8.250000,66.378,134.018,116.711,31.991,66.898,116.711,2.740974e-07,-35.621,0.266923,1.196724,4.444781
8.625000,59.616,137.262,116.561,28.441,75.825,116.561,3.207526e-07,-34.938,0.250950,1.192380,4.388482
9.000000,52.700,140.163,116.412,27.729,80.149,116.412,3.379124e-07,-34.712,0.243110,1.191271,4.368381
9.375000,45.648,142.714,116.262,27.363,80.007,116.262,3.419424e-07,-34.660,0.243372,1.190912,4.364878
9.750000,38.476,144.908,116.113,24.620,76.640,116.113,2.660259e-07,-35.751,0.251319,1.191345,4.445432
10.125000,31.204,146.742,115.963,18.643,71.642,115.963,2.125005e-07,-36.726,0.266087,1.194653,4.521527
10.500000,23.849,148.210,115.814,3.962,65.969,115.814,1.832915e-07,-37.369,0.289166,1.203370,4.578264
10.875000,16.430,149.309,115.664,-58.300,32.404,115.664,1.784909e-07,-37.484,0.344039,1.201997,4.608822
11.250000,8.966,150.036,115.515,-64.535,20.518,115.515,1.688439e-07,-37.725,0.358647,1.200107,4.630926
11.625000,1.474,150.390,115.365,-60.574,28.529,115.365,1.748723e-07,-37.573,0.338756,1.200688,4.612891
12.000000,-6.025,150.370,115.216,-59.737,29.064,115.216,1.671294e-07,-37.769,0.333897,1.200965,4.624806
12.375000,-13.515,149.976,115.066,-49.848,44.341,115.066,1.796898e-07,-37.455,0.306924,1.200082,4.591706
12.750000,-20.975,149.210,114.917,-35.642,59.011,114.917,1.883930e-07,-37.249,0.284011,1.196673,4.566848
13.125000,-28.389,148.074,114.767,-32.075,70.229,114.767,2.424723e-07,-36.153,0.258285,1.189067,4.476928
13.500000,-35.736,146.570,114.618,-30.836,75.991,114.618,3.109725e-07,-35.073,0.246652,1.186985,4.395054
13.875000,-43.000,144.704,114.468,-31.099,79.267,114.468,3.591468e-07,-34.447,0.240045,1.186402,4.347667
14.250000,-50.162,142.479,114.319,-32.001,77.137,114.319,3.805850e-07,-34.195,0.242750,1.186033,4.331461
14.625000,-57.205,139.901,114.169,-33.568,71.134,114.169,3.474567e-07,-34.591,0.252390,1.186721,4.364296
15.000000,-64.111,136.977,114.020,-37.949,63.118,114.020,3.220867e-07,-34.920,0.264169,1.189233,4.393563
15.375000,-70.864,133.714,113.870,-42.878,54.552,113.870,3.123074e-07,-35.054,0.276187,1.192881,4.409132
15.750000,-77.447,130.121,113.720,-45.777,50.497,113.720,3.034166e-07,-35.180,0.279831,1.193884,4.419730
16.125000,-83.844,126.206,113.571,-47.051,49.122,113.571,3.259112e-07,-34.869,0.279683,1.193582,4.397886
16.500000,-90.040,121.979,113.421,-48.244,48.181,113.421,3.394131e-07,-34.693,0.278612,1.192905,4.384972
16.875000,-96.018,117.452,113.272,-48.587,48.560,113.272,3.532859e-07,-34.519,0.276391,1.191810,4.371631
17.250000,-101.766,112.634,113.122,-53.444,52.655,113.122,3.924066e-07,-34.063,0.259087,1.185602,4.330600
17.625000,-107.269,107.538,112.973,-57.715,56.347,112.973,4.312745e-07,-33.652,0.246344,1.182845,4.295014
18.000000,-112.514,102.177,112.823,-52.763,49.216,112.823,3.729261e-07,-34.284,0.265686,1.186863,4.349495
18.375000,-117.488,96.564,112.674,-50.906,44.291,112.674,3.385951e-07,-34.703,0.278629,1.191404,4.385549
18.750000,-122.179,90.712,112.524,-51.126,42.988,112.524,3.216444e-07,-34.926,0.280546,1.191813,4.402100
19.125000,-126.576,84.637,112.375,-52.854,40.391,112.375,3.057255e-07,-35.147,0.281142,1.191701,4.417796
19.500000,-130.669,78.352,112.225,-55.582,36.909,112.225,2.884441e-07,-35.399,0.280176,1.190943,4.434954
19.875000,-134.447,71.874,112.076,-60.421,33.880,112.076,3.115561e-07,-35.065,0.272268,1.187359,4.407398
20.250000,-137.902,65.217,111.926,-70.043,29.565,111.926,3.410762e-07,-34.671,0.254805,1.181527,4.370599
20.625000,-141.026,58.399,111.777,-75.867,28.084,111.777,3.721883e-07,-34.292,0.244186,1.179567,4.338299
21.000000,-143.811,51.435,111.627,-79.143,27.669,111.627,3.892322e-07,-34.098,0.238350,1.179109,4.321485
21.375000,-146.252,44.344,111.478,-78.112,26.708,111.478,3.705413e-07,-34.312,0.240563,1.178664,4.337600
21.750000,-148.341,37.141,111.328,-75.443,24.402,111.328,2.950059e-07,-35.302,0.246880,1.178623,4.410277
22.125000,-150.075,29.844,111.179,-67.920,15.734,111.179,2.325594e-07,-36.335,0.269464,1.184035,4.494586
22.500000,-151.449,22.471,111.029,-64.010,5.962,111.029,1.991316e-07,-37.009,0.285771,1.190480,4.550124
22.875000,-152.460,15.040,110.880,-34.368,-53.634,110.880,1.975821e-07,-37.043,0.336975,1.190894,4.574018
23.250000,-153.107,7.568,110.730,-41.640,-47.873,110.730,1.873325e-07,-37.274,0.320077,1.190791,4.583498
23.625000,-153.387,0.073,110.581,-32.911,-54.770,110.581,1.902995e-07,-37.206,0.328758,1.189568,4.582073
24.000000,-153.301,-7.426,110.431,-2.539,71.343,110.431,8.797724e-08,-40.556,0.375290,1.180119,4.832829
24.375000,-152.848,-14.912,110.282,5.971,72.708,110.282,1.013414e-07,-39.942,0.404748,1.178452,4.799498
24.750000,-152.031,-22.367,110.132,7.153,73.294,110.132,1.083599e-07,-39.651,0.418008,1.177536,4.783240
25.125000,-150.851,-29.774,109.983,-68.779,-29.804,109.983,2.792592e-07,-35.540,0.255624,1.176332,4.431234
25.500000,-149.311,-37.114,109.833,-76.254,-30.152,109.833,3.635437e-07,-34.394,0.239798,1.174291,4.342497
25.875000,-147.415,-44.370,109.684,-76.883,-30.738,109.684,4.303909e-07,-33.661,0.237807,1.173952,4.290058
26.250000,-145.168,-51.525,109.534,-76.068,-31.338,109.534,4.245200e-07,-33.721,0.238418,1.173509,4.294519
26.625000,-142.576,-58.563,109.385,-69.806,-32.824,109.385,3.846431e-07,-34.149,0.248450,1.173675,4.329896
27.000000,-139.644,-65.466,109.235,-61.782,-36.765,109.235,3.570085e-07,-34.473,0.260679,1.175967,4.359076
27.375000,-136.380,-72.219,109.086,-53.960,-41.491,109.086,3.552022e-07,-34.495,0.271356,1.179008,4.366184
27.750000,-132.792,-78.804,108.936,-49.817,-44.010,108.936,3.349978e-07,-34.750,0.276023,1.180382,4.386361
28.125000,-128.889,-85.208,108.787,-47.707,-45.674,108.787,3.570468e-07,-34.473,0.276936,1.180419,4.367417
28.500000,-124.679,-91.415,108.637,-46.920,-46.725,108.637,3.714367e-07,-34.301,0.275807,1.179696,4.354793
28.875000,-120.174,-97.411,108.488,-46.657,-47.723,108.488,3.910225e-07,-34.078,0.273635,1.178545,4.338014
