Axis,Resolution_m,LowerLimit_m,UpperLimit_m,PeakX_m,PeakY_m,PeakZ_m,Threshold_dB
X,0.0338545435503259,-0.0219851948804982,0.0118693486698277,0,20,-1.58,-3
Y,0.027913450108759,19.9893085697276,20.0172220198364,0,20,-1.58,-3
Z,0.380157868335685,-1.72035975438769,-1.340201886052,0,20,-1.58,-3
